item_id,folder,broker,title,keywords,match_score,remote_path,local_path,status,note,top_candidates
1,01_第一周必读10篇,光大证券,多因子系列报告之二十四 短周期因子的挖掘与组合构建,多因子系列报告之二十四 短周期因子的挖掘与组合构建|多因子系列报告之二十四|短周期因子的挖掘与组合构建,12.5075,/mnt/research/研报/光大证券/20190804-光大证券-多因子系列报告之二十四：短周期因子的挖掘与组合构建.pdf,C:\Users\13477\Desktop\量化研报阅读计划\01_第一周必读10篇\20190804-光大证券-多因子系列报告之二十四_短周期因子的挖掘与组合构建.pdf,copied,,20190804-光大证券-多因子系列报告之二十四：短周期因子的挖掘与组合构建.pdf (12.51) || 20190908-光大证券-多因子系列报告之二十五：结合短周期因子的指数增强实证.pdf (4.76) || 20170428-光大证券-多因子系列报告之二：因子测试全集.pdf (4.55)
2,01_第一周必读10篇,广发证券,高频数据因子研究系列一 基于日内高频数据的短周期选股因子研究,高频数据因子研究系列一 基于日内高频数据的短周期选股因子研究|高频数据因子研究系列一|基于日内高频数据的短周期选股因子研究,12.5714,/mnt/research/研报/广发证券/20190506-广发证券-高频数据因子研究系列一：基于日内高频数据的短周期选股因子研究.pdf,C:\Users\13477\Desktop\量化研报阅读计划\01_第一周必读10篇\20190506-广发证券-高频数据因子研究系列一_基于日内高频数据的短周期选股因子研究.pdf,copied,,20190506-广发证券-高频数据因子研究系列一：基于日内高频数据的短周期选股因子研究.pdf (12.57) || 20190815-广发证券-高频数据因子研究系列二：基于日内高频数据的短周期选股因子研究.pdf (8.26) || 20200505-广发证券-高频数据因子研究系列三：基于个股羊群效应的选股因子研究.pdf (4.86)
3,01_第一周必读10篇,广发证券,高频数据因子研究系列二 基于日内高频数据的短周期选股因子研究,高频数据因子研究系列二 基于日内高频数据的短周期选股因子研究|高频数据因子研究系列二|基于日内高频数据的短周期选股因子研究,12.5714,/mnt/research/研报/广发证券/20190815-广发证券-高频数据因子研究系列二：基于日内高频数据的短周期选股因子研究.pdf,C:\Users\13477\Desktop\量化研报阅读计划\01_第一周必读10篇\20190815-广发证券-高频数据因子研究系列二_基于日内高频数据的短周期选股因子研究.pdf,copied,,20190815-广发证券-高频数据因子研究系列二：基于日内高频数据的短周期选股因子研究.pdf (12.57) || 20190506-广发证券-高频数据因子研究系列一：基于日内高频数据的短周期选股因子研究.pdf (8.26) || 20200505-广发证券-高频数据因子研究系列三：基于个股羊群效应的选股因子研究.pdf (4.86)
4,01_第一周必读10篇,东吴证券,高频价量相关性 意想不到的选股因子,高频价量相关性 意想不到的选股因子|高频价量相关性|意想不到的选股因子,11.8182,/mnt/research/研报/东吴证券/20200223-东吴证券-“技术分析拥抱选股因子”系列研究（一）：高频价量相关性，意想不到的选股因子.pdf,"C:\Users\13477\Desktop\量化研报阅读计划\01_第一周必读10篇\20200223-东吴证券-“技术分析拥抱选股因子”系列研究(一)_高频价量相关性,意想不到的选股因子.pdf",copied,,20200223-东吴证券-“技术分析拥抱选股因子”系列研究（一）：高频价量相关性，意想不到的选股因子.pdf (11.82) || 20221011-东吴证券-“技术分析拥抱选股因子”系列研究（十一）：新价量相关性RPV选股因子，相关性是价量配合最好的尺.pdf (4.03) || 20231108-东吴证券-“波动率选股因子”系列研究（二）：信息分布均匀度，基于高频波动率的选股因子.pdf (4.00)
5,01_第一周必读10篇,海通证券,基于逐笔成交数据的高频因子梳理,基于逐笔成交数据的高频因子梳理,6.9000,/mnt/research/研报/海通证券/20200223-海通证券-选股因子系列研究（五十九）：基于逐笔成交数据的高频因子梳理.pdf,C:\Users\13477\Desktop\量化研报阅读计划\01_第一周必读10篇\20200223-海通证券-选股因子系列研究(五十九)_基于逐笔成交数据的高频因子梳理.pdf,copied,,20200223-海通证券-选股因子系列研究（五十九）：基于逐笔成交数据的高频因子梳理.pdf (6.90) || 20151224-海通证券-选股因子研究系列（十）：基于波段划分的动态反转因子.pdf (3.96) || 20200112-海通证券-选股因子系列研究（五十七）：基于主动买入行为的选股因子.pdf (3.93)
6,01_第一周必读10篇,天风证券,订单簿上的alpha,订单簿上的alpha,6.6471,/mnt/research/研报/天风证券/20190905-天风证券-市场微观结构探析系列之二：订单簿上的alpha.pdf,C:\Users\13477\Desktop\量化研报阅读计划\01_第一周必读10篇\20190905-天风证券-市场微观结构探析系列之二_订单簿上的alpha.pdf,copied,,20190905-天风证券-市场微观结构探析系列之二：订单簿上的alpha.pdf (6.65) || 20170621-天风证券-因子的事件化研究.pdf (3.97) || 20190327-天风证券-金工专题报告：A股公司治理类因子解析.pdf (3.78)
7,01_第一周必读10篇,海通证券,大单的精细化处理与大单因子重构,大单的精细化处理与大单因子重构,6.9000,/mnt/research/研报/海通证券/20210120-海通证券-选股因子系列研究（七十二）：大单的精细化处理与大单因子重构.pdf,C:\Users\13477\Desktop\量化研报阅读计划\01_第一周必读10篇\20210120-海通证券-选股因子系列研究(七十二)_大单的精细化处理与大单因子重构.pdf,copied,,20210120-海通证券-选股因子系列研究（七十二）：大单的精细化处理与大单因子重构.pdf (6.90) || 20170423-海通证券-多因子跟踪周报.pdf (3.88) || 20170407-海通证券-量化研究新思维（一）：对选股因子择时.pdf (3.86)
8,01_第一周必读10篇,天风证券,如何刻画因子对收益的真实预测效果,如何刻画因子对收益的真实预测效果,7.1053,/mnt/research/研报/天风证券/20190925-天风证券-金工专题报告：如何刻画因子对收益的真实预测效果.pdf,C:\Users\13477\Desktop\量化研报阅读计划\01_第一周必读10篇\20190925-天风证券-金工专题报告_如何刻画因子对收益的真实预测效果.pdf,copied,,20190925-天风证券-金工专题报告：如何刻画因子对收益的真实预测效果.pdf (7.11) || 20170621-天风证券-因子的事件化研究.pdf (3.98) || 20170815-天风证券-MHKQ因子择时模型在A股中的应用.pdf (3.81)
9,01_第一周必读10篇,东北证券,Barra模型 CNE6 介绍与应用,Barra模型 CNE6 介绍与应用|Barra模型|CNE6|介绍与应用,14.0339,/mnt/research/研报/东北证券/20181013-东北证券-金融工程研究报告：Barra模型（CNE6）介绍与应用.pdf,C:\Users\13477\Desktop\量化研报阅读计划\01_第一周必读10篇\20181013-东北证券-金融工程研究报告_Barra模型(CNE6)介绍与应用.pdf,copied,,20181013-东北证券-金融工程研究报告：Barra模型（CNE6）介绍与应用.pdf (14.03) || 20190702-东北证券-多因子系列报告：量价因子有效性与相关性问题探讨.pdf (3.53) || 20190320-东北证券-基本面因子研究：一种分析方法.pdf (3.50)
10,01_第一周必读10篇,华泰证券,基于遗传规划的选股因子挖掘,基于遗传规划的选股因子挖掘,6.7895,/mnt/research/研报/华泰证券/20190610-华泰证券-华泰人工智能系列之二十一：基于遗传规划的选股因子挖掘.pdf,C:\Users\13477\Desktop\量化研报阅读计划\01_第一周必读10篇\20190610-华泰证券-华泰人工智能系列之二十一_基于遗传规划的选股因子挖掘.pdf,copied,,20190610-华泰证券-华泰人工智能系列之二十一：基于遗传规划的选股因子挖掘.pdf (6.79) || 20190807-华泰证券-人工智能系列之二十三：再探基于遗传规划的选股因子挖掘.pdf (6.79) || 【华泰金工】基本面选股10：华泰价值选股之现金流因子研究20170822.pdf (3.79)
